Condition,Description,Group,Priority,Ref_Time_Min,Ref_Time,Ref_Time_Max,RequiredLaps,Start_LonLB,Start_LonUB,Start_LatLB,Start_LatUB,End_LonLB,End_LonUB,End_LatLB,End_LatUB,Waypoint01_LonLB,Waypoint01_LonUB,Waypoint01_LatLB,Waypoint01_LatUB,Waypoint01_Required,Waypoint02_LonLB,Waypoint02_LonUB,Waypoint02_LatLB,Waypoint02_LatUB,Waypoint02_Required,Waypoint03_LonLB,Waypoint03_LonUB,Waypoint03_LatLB,Waypoint03_LatUB,Waypoint03_Required,Waypoint04_LonLB,Waypoint04_LonUB,Waypoint04_LatLB,Waypoint04_LatUB,Waypoint04_Required,Waypoint05_LonLB,Waypoint05_LonUB,Waypoint05_LatLB,Waypoint05_LatUB,Waypoint05_Required,Waypoint06_LonLB,Waypoint06_LonUB,Waypoint06_LatLB,Waypoint06_LatUB,Waypoint06_Required,LoopZone01_LonLB,LoopZone01_LonUB,LoopZone01_LatLB,LoopZone01_LatUB,LoopZone01_Count,LoopZone02_LonLB,LoopZone02_LonUB,LoopZone02_LatLB,LoopZone02_LatUB,LoopZone02_Count,LoopZone03_LonLB,LoopZone03_LonUB,LoopZone03_LatLB,LoopZone03_LatUB,LoopZone03_Count,Forbidden01_LonLB,Forbidden01_LonUB,Forbidden01_LatLB,Forbidden01_LatUB,Forbidden02_LonLB,Forbidden02_LonUB,Forbidden02_LatLB,Forbidden02_LatUB,Forbidden03_LonLB,Forbidden03_LonUB,Forbidden03_LatLB,Forbidden03_LatUB,SkipDistanceThresholdM,SkipTimeThresholdS,Feature1_Hint,Feature1_Lap01_Hint,Feature1_Lap02_Hint,Feature1_Lap03_Hint,Feature1_Lap04_Hint,Feature1_Lap05_Hint,Feature2_Hint,Feature2_Lap01_Hint,Feature2_Lap02_Hint,Feature2_Lap03_Hint,Feature2_Lap04_Hint,Feature2_Lap05_Hint,Feature3_Hint,Feature3_Lap01_Hint,Feature3_Lap02_Hint,Feature3_Lap03_Hint,Feature3_Lap04_Hint,Feature3_Lap05_Hint,Waypoint01_Hint,Waypoint01_Lap01_Hint,Waypoint01_Lap02_Hint,Waypoint01_Lap03_Hint,Waypoint01_Lap04_Hint,Waypoint01_Lap05_Hint,Waypoint02_Hint,Waypoint02_Lap01_Hint,Waypoint02_Lap02_Hint,Waypoint02_Lap03_Hint,Waypoint02_Lap04_Hint,Waypoint02_Lap05_Hint,Waypoint03_Hint,Waypoint03_Lap01_Hint,Waypoint03_Lap02_Hint,Waypoint03_Lap03_Hint,Waypoint03_Lap04_Hint,Waypoint03_Lap05_Hint,Waypoint04_Hint,Waypoint04_Lap01_Hint,Waypoint04_Lap02_Hint,Waypoint04_Lap03_Hint,Waypoint04_Lap04_Hint,Waypoint04_Lap05_Hint,Waypoint05_Hint,Waypoint05_Lap01_Hint,Waypoint05_Lap02_Hint,Waypoint05_Lap03_Hint,Waypoint05_Lap04_Hint,Waypoint05_Lap05_Hint,Waypoint06_Hint,Waypoint06_Lap01_Hint,Waypoint06_Lap02_Hint,Waypoint06_Lap03_Hint,Waypoint06_Lap04_Hint,Waypoint06_Lap05_Hint,LoopZone01_Hint,LoopZone01_Lap01_Hint,LoopZone01_Lap02_Hint,LoopZone01_Lap03_Hint,LoopZone01_Lap04_Hint,LoopZone01_Lap05_Hint,LoopZone02_Hint,LoopZone02_Lap01_Hint,LoopZone02_Lap02_Hint,LoopZone02_Lap03_Hint,LoopZone02_Lap04_Hint,LoopZone02_Lap05_Hint,LoopZone03_Hint,LoopZone03_Lap01_Hint,LoopZone03_Lap02_Hint,LoopZone03_Lap03_Hint,LoopZone03_Lap04_Hint,LoopZone03_Lap05_Hint,Feature1_LonLB,Feature1_LonUB,Feature1_LatLB,Feature1_LatUB,Feature1_Required,Feature2_LonLB,Feature2_LonUB,Feature2_LatLB,Feature2_LatUB,Feature2_Required,Feature3_LonLB,Feature3_LonUB,Feature3_LatLB,Feature3_LatUB,Feature3_Required,Prestart_Hint,Prestart_Lap01_Hint,Prestart_Lap02_Hint,Prestart_Lap03_Hint,Prestart_Lap04_Hint,Prestart_Lap05_Hint
MB,中等比利时路,MainLine,0,30,40,70,1,119.41898,119.419155,31.03365,31.034,119.41965,119.42043,31.03043,31.03104,119.41892,119.41899,31.03335,31.0336,TRUE,119.4192,119.41935,31.0321,31.0322,TRUE,119.419533,119.419617,31.0311,31.0314,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
TW-2,扭曲路2,MainLine,0,100,140,200,1,119.4188,119.41895,31.0335,31.03363,119.4195,119.4198,31.03046,31.03054,119.41886,119.41898,31.03336,31.03344,TRUE,119.41915,119.41935,31.032,31.0321,TRUE,119.41955,119.41965,31.03075,31.03085,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
DP,减速坎,MainLine,0,2,10,25,1,119.41875,119.418961,31.03358,31.033732,119.418785,119.419,31.0328,31.03295,119.41875,119.418961,31.03358,31.033732,TRUE,119.41875,119.418961,31.03358,31.033732,TRUE,119.418785,119.419,31.0328,31.03295,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
HB-FB-HT,HB-FB-HT,MainLine,0,30,120,500,1,119.418785,119.419,31.0328,31.0332,119.4195,119.41959,31.0305,31.03065,119.418785,119.4191,31.03255,31.03272,TRUE,119.419128,119.4192,31.032181,31.032417,TRUE,119.41938,119.41952,31.03078,31.0309,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4197,119.4198,31.0318,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
DP,减速坎,MainLine,0,10,120,500,1,119.41875,119.418961,31.03358,31.033732,119.4195,119.41959,31.0305,31.03065,119.41875,119.418961,31.03358,31.033732,TRUE,119.419128,119.4192,31.032181,31.032417,TRUE,119.41938,119.41952,31.03098,31.03113,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
HB,重制动点刹,MainLine,0,10,120,500,1,119.41875,119.418961,31.03358,31.033732,119.4195,119.41959,31.0305,31.03065,119.41875,119.418961,31.03358,31.033732,TRUE,119.419128,119.4192,31.032181,31.032417,TRUE,119.41938,119.41952,31.03098,31.03113,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
FB,全制动点刹,MainLine,0,10,120,500,1,119.41875,119.418961,31.03358,31.033732,119.4195,119.41959,31.0305,31.03065,119.41875,119.418961,31.03358,31.033732,TRUE,119.419128,119.4192,31.032181,31.032417,TRUE,119.41938,119.41952,31.03098,31.03113,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
HT,高扭矩,MainLine,0,10,120,500,1,119.41875,119.418961,31.03358,31.033732,119.4195,119.41959,31.0305,31.03065,119.41875,119.418961,31.03358,31.033732,TRUE,119.419128,119.4192,31.032181,31.032417,TRUE,119.41938,119.41952,31.03098,31.03113,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
P1,方坑1,MainLine,0,3,10,20,1,119.419372,119.419572,31.031827,31.03202,119.4197,119.41985,31.03045,31.03065,119.419372,119.419572,31.031827,31.03202,TRUE,119.419017,119.41993,31.03125,31.03135,TRUE,119.4196,119.4198,31.031,31.03115,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
CB,搓板路制动,MainLine,0,10,30,80,1,119.41895,119.4191,31.03355,31.03375,119.419372,119.419572,31.031827,31.03202,119.419,119.4194,31.0326,31.0334,TRUE,119.419,119.4192,31.03319,31.03339,TRUE,119.419372,119.419572,31.031827,31.03202,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
EB-ER,EB-ER,MainLine,0,250,350,450,2,119.417644,119.417739,31.0368689,31.0375584,119.417754,119.417954,31.0360195,31.0362195,119.420463,119.420763,31.0381671,31.0383671,TRUE,119.423959,119.424119,31.0344592,31.0346592,TRUE,119.418243,119.418443,31.0341,31.0343,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.417047,119.417207,31.0352622,31.0354222,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
EB,紧急制动,MainLine,0,250,350,450,2,119.417644,119.417739,31.0368689,31.0375584,119.417754,119.417954,31.0360195,31.0362195,119.420463,119.420763,31.0381671,31.0383671,TRUE,119.423959,119.424119,31.0344592,31.0346592,TRUE,119.418243,119.418443,31.0341,31.0343,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.417047,119.417207,31.0352622,31.0354222,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
ER,能量回收,MainLine,0,250,350,450,1,119.417644,119.417739,31.0368689,31.0375584,119.417754,119.417954,31.0360195,31.0362195,119.420463,119.420763,31.0381671,31.0383671,TRUE,119.423959,119.424119,31.0344592,31.0346592,TRUE,119.418243,119.418443,31.0341,31.0343,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.417047,119.417207,31.0352622,31.0354222,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
DA,耐久连接路,MainLine,0,160,210,240,1,119.41918,119.4193,31.035,31.03511,119.4187,119.4188,31.0361,31.03635,119.41935,119.4195,31.0346,31.0348,TRUE,119.4204,119.42055,31.03107,31.03125,TRUE,119.417784,119.41791,31.0359,31.0361,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4242,119.42434,31.03405,31.0342,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
SH,坡道区域试验-标准坡,MainLine,0,120,180,400,1,119.422275,119.422375,31.027689,31.027779,119.42237,119.422467,31.027683,31.027783,119.422453,119.422543,31.0276027,31.0277027,TRUE,119.4232,119.4233,31.027419,31.02751,TRUE,119.422644,119.422734,31.027684,31.0277648,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4242,119.42435,31.0292,31.0294,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
PV-PABC,PV-PABC,MainLine,0,170,195,230,1,119.42415,119.4244,31.02915,31.02945,119.42405,119.4243,31.02915,31.0294,119.4244,119.4246,31.0288,31.029,TRUE,119.4288,119.429,31.0288,31.029,TRUE,119.4238,119.4242,31.0296,31.03,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4228,119.4232,31.0286,31.029,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
D16-1,D16-1,Region,0,100,110,165,1,119.422,119.4222,31.03613,31.03635,119.4221,119.42215,31.03624,31.03628,119.4221,119.42215,31.03624,31.03628,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
D13-1,D13-1,Region,0,108,120,180,1,119.4222,119.42245,31.03623,31.03645,119.42234,119.4224,31.03634,31.03638,119.42234,119.4224,31.03634,31.03638,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
D16-2,D16-2,Region,0,100,110,165,1,119.42165,119.42186,31.0334,31.0337,119.42178,119.42186,31.03352,31.03358,119.42178,119.42186,31.03352,31.03358,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.422,119.42208,31.03354,31.0336,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
D13-2,D13-2,Region,0,108,120,180,1,119.42189,119.42215,31.03358,31.0337,119.42196,119.4221,31.03358,31.03368,119.42196,119.4221,31.03358,31.03368,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4218,119.42186,31.03355,31.03362,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
HA,坡道区域试验,Region,0,1200,1400,2100,1,119.412,119.4165,31.0384,31.0495,119.4124,119.4126,31.049,31.0492,119.4124,119.4126,31.049,31.0492,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.415,119.4154,31.0384,31.039,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
PV,比利时石块路,MainLine,0,170,195,230,1,119.42415,119.4244,31.02915,31.02945,119.42405,119.4243,31.02915,31.0294,119.4244,119.4246,31.0288,31.029,TRUE,119.4288,119.429,31.0288,31.029,TRUE,119.4238,119.4242,31.0296,31.03,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4228,119.4232,31.0286,31.029,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
PA,比利时石块路A,MainLine,0,170,195,230,1,119.42415,119.4244,31.02915,31.02945,119.42405,119.4243,31.02915,31.0294,119.4244,119.4246,31.0288,31.029,TRUE,119.4288,119.429,31.0288,31.029,TRUE,119.4238,119.4242,31.0296,31.03,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4228,119.4232,31.0286,31.029,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
PB,比利时石块路B,MainLine,0,170,195,230,1,119.42415,119.4244,31.02915,31.02945,119.42405,119.4243,31.02915,31.0294,119.4244,119.4246,31.0288,31.029,TRUE,119.4288,119.429,31.0288,31.029,TRUE,119.4238,119.4242,31.0296,31.03,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4228,119.4232,31.0286,31.029,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
PC,比利时石块路C,MainLine,0,170,195,230,1,119.42415,119.4244,31.02915,31.02945,119.42405,119.4243,31.02915,31.0294,119.4244,119.4246,31.0288,31.029,TRUE,119.4288,119.429,31.0288,31.029,TRUE,119.4238,119.4242,31.0296,31.03,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4228,119.4232,31.0286,31.029,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
