Condition,Description,Group,Priority,Ref_Time_Min,Ref_Time,Ref_Time_Max,RequiredLaps,Start_LonLB,Start_LonUB,Start_LatLB,Start_LatUB,End_LonLB,End_LonUB,End_LatLB,End_LatUB,Waypoint01_LonLB,Waypoint01_LonUB,Waypoint01_LatLB,Waypoint01_LatUB,Waypoint01_Required,Waypoint02_LonLB,Waypoint02_LonUB,Waypoint02_LatLB,Waypoint02_LatUB,Waypoint02_Required,Waypoint03_LonLB,Waypoint03_LonUB,Waypoint03_LatLB,Waypoint03_LatUB,Waypoint03_Required,Waypoint04_LonLB,Waypoint04_LonUB,Waypoint04_LatLB,Waypoint04_LatUB,Waypoint04_Required,Waypoint05_LonLB,Waypoint05_LonUB,Waypoint05_LatLB,Waypoint05_LatUB,Waypoint05_Required,Waypoint06_LonLB,Waypoint06_LonUB,Waypoint06_LatLB,Waypoint06_LatUB,Waypoint06_Required,LoopZone01_LonLB,LoopZone01_LonUB,LoopZone01_LatLB,LoopZone01_LatUB,LoopZone01_Count,LoopZone02_LonLB,LoopZone02_LonUB,LoopZone02_LatLB,LoopZone02_LatUB,LoopZone02_Count,LoopZone03_LonLB,LoopZone03_LonUB,LoopZone03_LatLB,LoopZone03_LatUB,LoopZone03_Count,Forbidden01_LonLB,Forbidden01_LonUB,Forbidden01_LatLB,Forbidden01_LatUB,Forbidden02_LonLB,Forbidden02_LonUB,Forbidden02_LatLB,Forbidden02_LatUB,Forbidden03_LonLB,Forbidden03_LonUB,Forbidden03_LatLB,Forbidden03_LatUB,SkipDistanceThresholdM,SkipTimeThresholdS,Feature1_Hint,Feature1_Lap01_Hint,Feature1_Lap02_Hint,Feature1_Lap03_Hint,Feature1_Lap04_Hint,Feature1_Lap05_Hint,Feature2_Hint,Feature2_Lap01_Hint,Feature2_Lap02_Hint,Feature2_Lap03_Hint,Feature2_Lap04_Hint,Feature2_Lap05_Hint,Feature3_Hint,Feature3_Lap01_Hint,Feature3_Lap02_Hint,Feature3_Lap03_Hint,Feature3_Lap04_Hint,Feature3_Lap05_Hint,Waypoint01_Hint,Waypoint01_Lap01_Hint,Waypoint01_Lap02_Hint,Waypoint01_Lap03_Hint,Waypoint01_Lap04_Hint,Waypoint01_Lap05_Hint,Waypoint02_Hint,Waypoint02_Lap01_Hint,Waypoint02_Lap02_Hint,Waypoint02_Lap03_Hint,Waypoint02_Lap04_Hint,Waypoint02_Lap05_Hint,Waypoint03_Hint,Waypoint03_Lap01_Hint,Waypoint03_Lap02_Hint,Waypoint03_Lap03_Hint,Waypoint03_Lap04_Hint,Waypoint03_Lap05_Hint,Waypoint04_Hint,Waypoint04_Lap01_Hint,Waypoint04_Lap02_Hint,Waypoint04_Lap03_Hint,Waypoint04_Lap04_Hint,Waypoint04_Lap05_Hint,Waypoint05_Hint,Waypoint05_Lap01_Hint,Waypoint05_Lap02_Hint,Waypoint05_Lap03_Hint,Waypoint05_Lap04_Hint,Waypoint05_Lap05_Hint,Waypoint06_Hint,Waypoint06_Lap01_Hint,Waypoint06_Lap02_Hint,Waypoint06_Lap03_Hint,Waypoint06_Lap04_Hint,Waypoint06_Lap05_Hint,LoopZone01_Hint,LoopZone01_Lap01_Hint,LoopZone01_Lap02_Hint,LoopZone01_Lap03_Hint,LoopZone01_Lap04_Hint,LoopZone01_Lap05_Hint,LoopZone02_Hint,LoopZone02_Lap01_Hint,LoopZone02_Lap02_Hint,LoopZone02_Lap03_Hint,LoopZone02_Lap04_Hint,LoopZone02_Lap05_Hint,LoopZone03_Hint,LoopZone03_Lap01_Hint,LoopZone03_Lap02_Hint,LoopZone03_Lap03_Hint,LoopZone03_Lap04_Hint,LoopZone03_Lap05_Hint,Feature1_LonLB,Feature1_LonUB,Feature1_LatLB,Feature1_LatUB,Feature1_Required,Feature2_LonLB,Feature2_LonUB,Feature2_LatLB,Feature2_LatUB,Feature2_Required,Feature3_LonLB,Feature3_LonUB,Feature3_LatLB,Feature3_LatUB,Feature3_Required,Prestart_Hint,Prestart_Lap01_Hint,Prestart_Lap02_Hint,Prestart_Lap03_Hint,Prestart_Lap04_Hint,Prestart_Lap05_Hint
SP,蛇形路,MainLine,0,700,800,1100,1,119.421791,119.421982,31.035768,31.036041,119.421806,119.422012,31.035774,31.03608,119.421814,119.421928,31.035564,31.035988,TRUE,,,,,,119.421814,119.422073,31.03548,31.036076,TRUE,,,,,,,,,,,,,,,,119.42285,119.42305,31.03335,31.0335,5,,,,,,,,,,,119.4236,119.4237,31.0341,31.0342,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
LT,直角转向,MainLine,0,165,190,350,1,119.418,119.4185,31.0535,31.054,119.418,119.4185,31.0536,31.054,119.4186,119.419,31.0534,31.0538,TRUE,119.4212,119.4218,31.053,31.0538,TRUE,119.4184,119.4188,31.0538,31.0544,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4242,119.4248,31.035,31.0356,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
HS,极限高速,MainLine,0,1800,2000,3000,1,119.4154,119.416,31.038,31.0384,119.4158,119.4164,31.0375,31.0384,119.4146,119.4153,31.0388,31.0396,TRUE,119.42,119.4215,31.0575,31.059,TRUE,119.4152,119.416,31.0366,31.0374,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4228,119.4232,31.0382,31.0387,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
OT,高速环道,MainLine,0,750,840,2000,1,119.4154,119.416,31.038,31.0384,119.4158,119.4164,31.0375,31.0384,119.4146,119.4153,31.0388,31.0396,TRUE,119.42,119.4215,31.0575,31.059,TRUE,119.4152,119.416,31.0366,31.0374,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42105,119.42115,31.02895,31.02905,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
AG,ABS砂石路,MainLine,0,200,300,600,2,119.4195,119.4198,31.035,31.0352,119.4192,119.4195,31.035,31.0352,119.42,119.4202,31.0345,31.0347,TRUE,119.4224,119.4228,31.0318,31.0322,TRUE,119.4196,119.4198,31.0344,31.0346,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4202,119.421,31.0354,31.036,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,轻加速30→坡顶轻加速40→在“开始制动”标志之后，全制动25→中/全加速40→全制动25→中/全加速40→全制动0→返回3#环岛,轻加速30→坡顶轻加速40→在“开始制动”标志之后，全制动0→中/全加速40→全制动25→全制动0→切换至倒挡，中25/全20→全制动0→返回3#环岛,,,,,掉头通过连接路，返回3#环岛，开始第二圈吧,已完成，请返回3#环岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,"请行驶至3#环岛，并进入砂石路等待区停车排队等待。
当ABS测试路无障碍时，开始试验。
第一圈：轻加速30→坡顶轻加速40→在“开始制动”标志之后，全制动25→中/全加速40→全制动25→中/全加速40→全制动0→返回3#环岛
第二圈：轻加速30→坡顶轻加速40→在“开始制动”标志之后，全制动0→中/全加速40→全制动25→全制动0→切换至倒挡，中25/全20→全制动0→返回3#环岛",,,,,
TG,TCS砂石路,MainLine,0,50,80,100,1,119.4195,119.4198,31.035,31.0352,119.4224,119.4228,31.0317,31.032,119.42,119.4202,31.0345,31.03465,TRUE,119.42105,119.4213,31.03295,31.0331,TRUE,119.42215,119.42235,31.03215,31.03235,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4202,119.421,31.0354,31.036,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
TW-1,扭曲路1,MainLine,0,100,140,200,1,119.420375,119.42045,31.03063,31.03075,119.4196,119.4197,31.0336,31.0338,119.42033,119.4204,31.0308,31.0309,TRUE,119.42002,119.42012,31.03202,31.0321,TRUE,119.41965,119.41975,31.0334,31.0335,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4192,119.41935,31.0321,31.0322,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
P2-P3,方坑2和方坑3,MainLine,0,10,55,80,1,119.42025,119.4204,31.0306,31.0308,119.41947,119.4196,31.0336,31.03375,119.4201,119.42026,31.0311,31.0312,TRUE,119.4198,119.4199,31.03235,31.0325,TRUE,119.41955,119.4197,31.0331,31.03325,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4193,119.41945,31.03105,31.0312,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
P2,方坑2,MainLine,0,10,55,80,1,119.42025,119.4204,31.0306,31.0308,119.41947,119.4196,31.0336,31.03375,119.4201,119.42026,31.0311,31.0312,TRUE,119.4198,119.4199,31.03235,31.0325,TRUE,119.41955,119.4197,31.0331,31.03325,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4193,119.41945,31.03105,31.0312,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
P3,方坑3,MainLine,0,10,55,80,1,119.42025,119.4204,31.0306,31.0308,119.41947,119.4196,31.0336,31.03375,119.4201,119.42026,31.0311,31.0312,TRUE,119.4198,119.4199,31.03235,31.0325,TRUE,119.41955,119.4197,31.0331,31.03325,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4193,119.41945,31.03105,31.0312,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
